#reward theta0 theta1 ep it
0 3.0 3.0 0 25
0 3.0 3.0 1 40
-5 3.0150691995 3.19626456059 2 202
-10 1.39979369034 3.8200332543 3 411
-3 1.486894294 3.72448836688 4 493
-1 1.48052371469 3.72726305011 5 566
-3 1.49125620056 3.35292969783 6 615
-12 1.59066524802 3.20558545162 7 858
-3 1.63815874389 3.14968672409 8 963
0 1.63815874389 3.14968672409 9 982
-1 1.64342688147 3.12001121771 10 1012
-15 1.66748523709 3.0952178214 11 1287
-13 2.42767640748 2.17381002886 12 1660
-6 2.46453721841 2.19480857971 13 1771
-11 2.57411053781 1.91443758282 14 2021
-3 2.58374979771 1.92301810376 15 2164
-2 2.58499354384 1.90565740575 16 2330
0 2.58499354384 1.90565740575 17 2350
-5 2.58282625343 1.92084956074 18 2527
-2 2.63820620266 1.76070129841 19 2564
-6 2.71261381639 1.70649236646 20 2756
-25 2.76008666321 1.68118202521 21 3402
-1 2.73365843867 1.70961324112 22 3469
-5 2.73517867862 1.71467555058 23 3733
-1 2.73838142986 1.69206089494 24 3790
-6 3.11905556004 1.2953842744 25 4077
0 3.11905556004 1.2953842744 26 4200
-10 3.17354675074 1.26562453479 27 4664
-5 3.21964824301 1.1851937627 28 4832
-5 3.25438907388 1.1252357354 29 4982
-2 3.2688287133 1.12194107985 30 5150
-1 3.32496028965 1.04273802207 31 5289
-3 3.33202627288 0.98732170672 32 5402
-13 3.25104046774 1.04702003398 33 5760
-12 3.26906858927 1.0487970247 34 6262
-14 3.27967226534 1.03504098056 35 6845
-8 3.30439510781 0.930935223488 36 7270
-5 3.33752760122 0.918689310545 37 7407
-7 3.35548210323 0.899592108695 38 7742
-2 3.38979924742 0.874858231218 39 7894
-44 3.68081778322 0.179442475568 40 10150
0 3.68081778322 0.179442475568 41 10260
-2 3.69955046116 0.169215792699 42 10398
-4 3.7649234813 0.0813167826692 43 10675
-4 3.81367181563 0.0376701526396 44 10856
-23 3.85696040495 -0.00324998026198 45 11932
-22 3.89636747266 -0.043315081837 46 13365
-14 3.91596552828 -0.322957815372 47 14243
-7 4.29146580953 -0.724390060343 48 14545
0 4.29146580953 -0.724390060343 49 14574
-22 4.29769562341 -0.7224940066 50 16460
-6 4.28575926848 -0.474734174047 51 16688
-7 4.31080093001 -0.510941610803 52 17231
-26 4.38374355031 -0.778942347559 53 19191
-40 4.49676532808 -0.955586525951 54 22085
-56 4.53139136886 -0.989839963067 55 25594
-13 4.5249627275 -1.01615351677 56 26526
-37 4.55807597834 -1.05751664002 57 28968
-22 4.59284151908 -1.06750107726 58 30812
-3 4.65491961795 -1.17007765376 59 31086
-13 4.69788879066 -1.21299338925 60 32289
0 4.69788879066 -1.21299338925 61 32335
-5 4.71389336713 -1.22492756087 62 32681
-5 4.72162542942 -1.23785039607 63 33079
0 4.72162542942 -1.23785039607 64 33135
-2 4.53390113957 -0.780108053471 65 33334
-13 4.52720459911 -0.781139138421 66 34291
-6 4.61966830823 -0.877956400392 67 34797
-12 4.63931153029 -0.892962532112 68 35745
-5 4.650610061 -0.912852773744 69 36127
-4 4.76656729387 -1.10829331489 70 36369
-3 4.7715316319 -1.11587294256 71 36739
-14 4.83069525465 -1.17221845267 72 37886
-2 4.84072683451 -1.17531375448 73 38106
-9 4.85873895442 -1.17884736958 74 38964
-2 4.86097559507 -1.1842502053 75 39133
-8 4.87686244952 -1.19222510583 76 39641
-11 4.90808309212 -1.21666905611 77 40622
-10 4.95226485518 -1.24441597563 78 41383
-4 4.95114817361 -1.25661854169 79 41599
-13 4.99417724936 -1.35690350253 80 42560
-3 5.00857307363 -1.34751624518 81 42810
-9 5.10631356857 -1.42310900257 82 43376
-14 5.12365105187 -1.43027864958 83 44521
-11 5.12289951244 -1.49773563604 84 45917
-24 5.1749163053 -1.55759423876 85 47737
-9 5.17634816658 -1.56105138498 86 48327
-9 5.20875505459 -1.61345021085 87 49190
0 5.20875505459 -1.61345021085 88 49253
-2 5.19651877629 -1.72861518922 89 49337
-9 5.21711042058 -1.75886975471 90 49883
-37 5.23502877681 -1.77384757139 91 53438
-4 5.24163948694 -1.78925629115 92 54057
-9 5.24352993471 -1.78139956159 93 54905
-23 5.29863400405 -1.84834131916 94 57082
-4 5.31190478912 -1.86395462937 95 57366
-14 5.32511134266 -1.87501029757 96 58871
-44 5.35685171122 -1.87621851972 97 62848
-37 5.37041601714 -1.90061467322 98 65973
-5 5.38481121191 -2.0037483417 99 66247
-2 5.38677759634 -2.00442559634 100 66731
-8 5.44427616924 -3.04124491732 101 67356
-13 5.42637438855 -2.22388908611 102 68692
-23 5.50245606201 -2.20648327098 103 71199
-1 5.50385397734 -2.2064999291 104 71566
-4 5.51487114135 -2.21506293201 105 72270
0 5.51487114135 -2.21506293201 106 72293
-3 5.51699229481 -2.2169068863 107 73022
-12 5.52482887693 -2.22584698115 108 74082
-12 5.53836143023 -2.24172614814 109 74811
-7 5.57364884794 -2.27119439911 110 75511
-18 5.61125583023 -2.30414461118 111 76748
-2 5.68922928753 -3.91270885335 112 76995
-18 5.69264320595 -3.92077389921 113 80796
-13 5.69273719217 -3.92483555015 114 82864
-21 5.69815452607 -3.92954387246 115 85370
-26 5.71980624528 -3.95733386415 116 89206
0 5.71980624528 -3.95733386415 117 89281
-13 5.72963840178 -3.97151527553 118 92843
0 5.72963840178 -3.97151527553 119 92906
-34 5.73650795328 -3.98502780769 120 98501
